# n ra dec fovra fovdec 
391 152.8075 -11.0 3.0 3.0  
392 155.86365 -11.0 3.0 3.0  
393 158.9198 -11.0 3.0 3.0  
394 161.97595 -11.0 3.0 3.0  
395 165.0321 -11.0 3.0 3.0  
396 168.08825 -11.0 3.0 3.0  
397 171.1444 -11.0 3.0 3.0  
398 174.20055 -11.0 3.0 3.0  
399 177.2567 -11.0 3.0 3.0  
400 180.31286 -11.0 3.0 3.0  
401 183.36901 -11.0 3.0 3.0  
402 186.42516 -11.0 3.0 3.0  
403 189.48131 -11.0 3.0 3.0  
404 192.53746 -11.0 3.0 3.0  
405 195.59361 -11.0 3.0 3.0  
406 198.64976 -11.0 3.0 3.0  
407 201.70591 -11.0 3.0 3.0  
408 204.76206 -11.0 3.0 3.0  
409 207.81821 -11.0 3.0 3.0  
410 210.87436 -11.0 3.0 3.0  
411 213.93051 -11.0 3.0 3.0  
412 216.98666 -11.0 3.0 3.0  
413 220.04281 -11.0 3.0 3.0  
414 223.09896 -11.0 3.0 3.0  
415 226.15511 -11.0 3.0 3.0  
416 229.21126 -11.0 3.0 3.0  
417 232.26741 -11.0 3.0 3.0  
418 235.32356 -11.0 3.0 3.0  
419 238.37971 -11.0 3.0 3.0  
420 241.43586 -11.0 3.0 3.0  
421 244.49201 -11.0 3.0 3.0  
422 247.54816 -11.0 3.0 3.0  
423 250.60431 -11.0 3.0 3.0  
424 253.66046 -11.0 3.0 3.0  
425 256.71661 -11.0 3.0 3.0  
426 259.77276 -11.0 3.0 3.0  
427 262.82891 -11.0 3.0 3.0  
428 265.88506 -11.0 3.0 3.0  
429 268.94121 -11.0 3.0 3.0  
430 271.99736 -11.0 3.0 3.0  
431 275.05351 -11.0 3.0 3.0  
432 278.10966 -11.0 3.0 3.0  
433 281.16581 -11.0 3.0 3.0  
434 284.22196 -11.0 3.0 3.0  
435 287.27811 -11.0 3.0 3.0  
436 290.33426 -11.0 3.0 3.0  
437 293.39041 -11.0 3.0 3.0  
438 296.44656 -11.0 3.0 3.0  
439 299.50271 -11.0 3.0 3.0  
440 302.55886 -11.0 3.0 3.0  
441 305.61501 -11.0 3.0 3.0  
442 308.67116 -11.0 3.0 3.0  
443 311.72731 -11.0 3.0 3.0  
444 314.78346 -11.0 3.0 3.0  
445 317.83961 -11.0 3.0 3.0  
446 320.89576 -11.0 3.0 3.0  
447 323.95191 -11.0 3.0 3.0  
448 327.00806 -11.0 3.0 3.0  
449 330.06421 -11.0 3.0 3.0  
450 333.12036 -11.0 3.0 3.0  
451 336.17651 -11.0 3.0 3.0  
452 339.23266 -11.0 3.0 3.0  
453 342.28881 -11.0 3.0 3.0  
454 345.34496 -11.0 3.0 3.0  
455 348.40111 -11.0 3.0 3.0  
456 351.45726 -11.0 3.0 3.0  
457 354.51341 -11.0 3.0 3.0  
458 357.56956 -11.0 3.0 3.0  
459 3.02948 -8.0 3.0 3.0  
460 6.05897 -8.0 3.0 3.0  
461 9.08845 -8.0 3.0 3.0  
462 12.11793 -8.0 3.0 3.0  
463 15.14741 -8.0 3.0 3.0  
464 18.1769 -8.0 3.0 3.0  
465 21.20638 -8.0 3.0 3.0  
466 24.23586 -8.0 3.0 3.0  
467 27.26534 -8.0 3.0 3.0  
468 30.29483 -8.0 3.0 3.0  
469 33.32431 -8.0 3.0 3.0  
470 36.35379 -8.0 3.0 3.0  
471 39.38328 -8.0 3.0 3.0  
472 42.41276 -8.0 3.0 3.0  
473 45.44224 -8.0 3.0 3.0  
474 48.47172 -8.0 3.0 3.0  
475 51.50121 -8.0 3.0 3.0  
476 54.53069 -8.0 3.0 3.0  
477 57.56017 -8.0 3.0 3.0  
478 60.58965 -8.0 3.0 3.0  
479 63.61914 -8.0 3.0 3.0  
480 66.64862 -8.0 3.0 3.0  
481 69.6781 -8.0 3.0 3.0  
482 72.70759 -8.0 3.0 3.0  
483 75.73707 -8.0 3.0 3.0  
484 78.76655 -8.0 3.0 3.0  
485 81.79603 -8.0 3.0 3.0  
486 84.82552 -8.0 3.0 3.0  
487 87.855 -8.0 3.0 3.0  
488 90.88448 -8.0 3.0 3.0  
489 93.91396 -8.0 3.0 3.0  
490 96.94345 -8.0 3.0 3.0  
491 99.97293 -8.0 3.0 3.0  
492 103.00241 -8.0 3.0 3.0  
493 106.0319 -8.0 3.0 3.0  
494 109.06138 -8.0 3.0 3.0  
495 112.09086 -8.0 3.0 3.0  
496 115.12034 -8.0 3.0 3.0  
497 118.14983 -8.0 3.0 3.0  
498 121.17931 -8.0 3.0 3.0  
499 124.20879 -8.0 3.0 3.0  
500 127.23827 -8.0 3.0 3.0  
501 130.26776 -8.0 3.0 3.0  
502 133.29724 -8.0 3.0 3.0  
503 136.32672 -8.0 3.0 3.0  
504 139.35621 -8.0 3.0 3.0  
505 142.38569 -8.0 3.0 3.0  
506 145.41517 -8.0 3.0 3.0  
507 148.44465 -8.0 3.0 3.0  
508 151.47414 -8.0 3.0 3.0  
509 154.50362 -8.0 3.0 3.0  
510 157.5331 -8.0 3.0 3.0  
